Item No.,Description,Base Unit of Measure,Unit Cost,Unit Price,Replenishment System,Gen. Prod. Posting Group,VAT Prod. Posting Group,Inventory Posting Group
ITEM-1000,Resistance 10K Ohm,PCS,0.50,0.75,Purchase,RETAIL,STANDARD,RESALE
ITEM-1001,Condensateur 100uF,PCS,1.20,1.80,Purchase,RETAIL,STANDARD,RESALE
ITEM-1002,Circuit Integre IC-7805,PCS,3.50,5.25,Purchase,RETAIL,STANDARD,RESALE
ITEM-1003,LED Rouge 5mm,PCS,0.30,0.50,Purchase,RETAIL,STANDARD,RESALE
ITEM-1004,Transistor NPN 2N2222,PCS,0.80,1.20,Purchase,RETAIL,STANDARD,RESALE
ITEM-1005,Diode Zener 5.1V,PCS,0.45,0.70,Purchase,RETAIL,STANDARD,RESALE
ITEM-1006,Relais 12V 10A,PCS,4.50,6.75,Purchase,RETAIL,STANDARD,RESALE
ITEM-1007,Fusible 5A,PCS,0.60,0.90,Purchase,RETAIL,STANDARD,RESALE
ITEM-1008,Transformateur 220V/12V,PCS,15.00,22.50,Purchase,RETAIL,STANDARD,RESALE
ITEM-1009,Microcontroleur Arduino Nano,PCS,8.50,12.75,Purchase,RETAIL,STANDARD,RESALE
ITEM-1010,Vis M4x20 Inox,BOX,5.00,7.50,Purchase,RETAIL,STANDARD,RESALE
ITEM-1011,Roulement 608ZZ,PCS,3.20,4.80,Purchase,RETAIL,STANDARD,RESALE
ITEM-1012,Ressort Compression 25mm,PCS,1.80,2.70,Purchase,RETAIL,STANDARD,RESALE
ITEM-1013,Ecrou M4 Inox,BOX,3.50,5.25,Purchase,RETAIL,STANDARD,RESALE
ITEM-1014,Rondelle Plate M4,BOX,2.00,3.00,Purchase,RETAIL,STANDARD,RESALE
ITEM-1015,Cable Electrique 1.5mm2,M,1.20,1.80,Purchase,RETAIL,STANDARD,RESALE
ITEM-1016,Connecteur RJ45,PCS,0.90,1.35,Purchase,RETAIL,STANDARD,RESALE
ITEM-1017,Gaine Thermoretractable 6mm,M,0.70,1.05,Purchase,RETAIL,STANDARD,RESALE
ITEM-1018,Boitier Plastique 100x60x25,PCS,4.50,6.75,Purchase,RETAIL,STANDARD,RESALE
ITEM-1019,Plaque Circuit Imprime 10x15,PCS,6.00,9.00,Purchase,RETAIL,STANDARD,RESALE
ITEM-1020,Capteur de Temperature PT100,PCS,12.00,18.00,Purchase,RETAIL,STANDARD,RESALE
ITEM-1021,Afficheur LCD 16x2,PCS,4.50,6.75,Purchase,RETAIL,STANDARD,RESALE
ITEM-1022,Alimentation Decoupage 12V 5A,PCS,14.00,21.00,Purchase,RETAIL,STANDARD,RESALE
ITEM-1023,Moteur Pas a Pas NEMA 17,PCS,16.50,24.75,Purchase,RETAIL,STANDARD,RESALE
ITEM-1024,Interrupteur Fin de Course,PCS,1.10,1.65,Purchase,RETAIL,STANDARD,RESALE
ITEM-1025,Potentiometre 10K Ohm,PCS,0.75,1.15,Purchase,RETAIL,STANDARD,RESALE
ITEM-1026,Module Bluetooth HC-05,PCS,5.20,7.80,Purchase,RETAIL,STANDARD,RESALE
ITEM-1027,Module Wifi ESP8266,PCS,3.80,5.70,Purchase,RETAIL,STANDARD,RESALE
ITEM-1028,Tige Filetee M8 Inox 1m,M,4.20,6.30,Purchase,RETAIL,STANDARD,RESALE
ITEM-1029,Profil Alumunium 2020 1m,M,7.50,11.25,Purchase,RETAIL,STANDARD,RESALE
ITEM-1030,Courroie Crantee GT2 6mm,M,2.10,3.15,Purchase,RETAIL,STANDARD,RESALE
ITEM-1031,Poulie Crantee GT2 20 Dents,PCS,1.80,2.70,Purchase,RETAIL,STANDARD,RESALE
ITEM-1032,Vanne Solenoide 12V,PCS,11.00,16.50,Purchase,RETAIL,STANDARD,RESALE
ITEM-1033,Joint Torique NBR 10mm,BOX,3.00,4.50,Purchase,RETAIL,STANDARD,RESALE
ITEM-1034,Fil d Etain 0.8mm 250g,PCS,9.50,14.25,Purchase,RETAIL,STANDARD,RESALE
ITEM-1035,Multimetre Numerique,PCS,22.00,33.00,Purchase,RETAIL,STANDARD,RESALE
ITEM-1036,Gaine Tressee 10mm,M,1.40,2.10,Purchase,RETAIL,STANDARD,RESALE
ITEM-1037,Carton d Emballage 30x20x15,BOX,8.00,12.00,Purchase,RETAIL,STANDARD,RESALE
ITEM-1038,Ruban Adhesif d Emballage,PCS,1.20,1.80,Purchase,RETAIL,STANDARD,RESALE
ITEM-1039,Cable Cuivre Denude 2.5mm2,M,1.80,2.70,Purchase,RETAIL,STANDARD,RESALE
