Vendor No.,Vendor Name,Item No.,Item Description,Unit Price,Lead Time Days,Min Order Qty,Preferred
V-10000,TechParts SARL,ITEM-1000,Resistance 10K Ohm,0.42,3,100,TRUE
V-10001,ElectroPro Distribution,ITEM-1000,Resistance 10K Ohm,0.48,5,200,FALSE
V-10003,QuickShip Maroc,ITEM-1000,Resistance 10K Ohm,0.55,2,50,FALSE
V-10005,PremiumTech SAS,ITEM-1000,Resistance 10K Ohm,0.38,6,500,FALSE
V-10007,FastDeal Trading,ITEM-1000,Resistance 10K Ohm,0.45,4,100,FALSE
V-10009,SmartSource Ltd,ITEM-1000,Resistance 10K Ohm,0.40,5,150,FALSE
V-10000,TechParts SARL,ITEM-1001,Condensateur 100uF,1.10,3,50,TRUE
V-10002,MegaSupply Co,ITEM-1001,Condensateur 100uF,1.30,7,100,FALSE
V-10004,GlobalParts Inc,ITEM-1001,Condensateur 100uF,1.05,10,200,FALSE
V-10007,FastDeal Trading,ITEM-1001,Condensateur 100uF,1.15,4,50,FALSE
V-10009,SmartSource Ltd,ITEM-1001,Condensateur 100uF,1.08,5,80,FALSE
V-10000,TechParts SARL,ITEM-1002,Circuit Integre IC-7805,3.20,3,20,TRUE
V-10001,ElectroPro Distribution,ITEM-1002,Circuit Integre IC-7805,3.80,5,30,FALSE
V-10005,PremiumTech SAS,ITEM-1002,Circuit Integre IC-7805,2.90,6,50,FALSE
V-10007,FastDeal Trading,ITEM-1002,Circuit Integre IC-7805,3.50,4,25,FALSE
V-10009,SmartSource Ltd,ITEM-1002,Circuit Integre IC-7805,3.10,5,30,FALSE
V-10001,ElectroPro Distribution,ITEM-1003,LED Rouge 5mm,0.28,5,500,TRUE
V-10003,QuickShip Maroc,ITEM-1003,LED Rouge 5mm,0.35,2,200,FALSE
V-10006,EcoParts Algerie,ITEM-1003,LED Rouge 5mm,0.32,8,1000,FALSE
V-10008,ValuePlus SARL,ITEM-1003,LED Rouge 5mm,0.25,12,2000,FALSE
V-10000,TechParts SARL,ITEM-1004,Transistor NPN 2N2222,0.72,3,100,TRUE
V-10002,MegaSupply Co,ITEM-1004,Transistor NPN 2N2222,0.85,7,200,FALSE
V-10005,PremiumTech SAS,ITEM-1004,Transistor NPN 2N2222,0.68,6,150,FALSE
V-10009,SmartSource Ltd,ITEM-1004,Transistor NPN 2N2222,0.75,5,100,FALSE
V-10001,ElectroPro Distribution,ITEM-1005,Diode Zener 5.1V,0.40,5,100,TRUE
V-10003,QuickShip Maroc,ITEM-1005,Diode Zener 5.1V,0.50,2,50,FALSE
V-10006,EcoParts Algerie,ITEM-1005,Diode Zener 5.1V,0.42,8,200,FALSE
V-10007,FastDeal Trading,ITEM-1005,Diode Zener 5.1V,0.44,4,100,FALSE
V-10000,TechParts SARL,ITEM-1006,Relais 12V 10A,4.20,3,10,TRUE
V-10002,MegaSupply Co,ITEM-1006,Relais 12V 10A,4.80,7,20,FALSE
V-10004,GlobalParts Inc,ITEM-1006,Relais 12V 10A,4.00,10,50,FALSE
V-10005,PremiumTech SAS,ITEM-1006,Relais 12V 10A,3.80,6,30,FALSE
V-10001,ElectroPro Distribution,ITEM-1007,Fusible 5A,0.55,5,200,TRUE
V-10003,QuickShip Maroc,ITEM-1007,Fusible 5A,0.65,2,100,FALSE
V-10005,PremiumTech SAS,ITEM-1007,Fusible 5A,0.48,6,300,FALSE
V-10008,ValuePlus SARL,ITEM-1007,Fusible 5A,0.50,12,500,FALSE
V-10011,Biskra Tech,ITEM-1007,Fusible 5A,0.52,6,250,FALSE
V-10000,TechParts SARL,ITEM-1008,Transformateur 220V/12V,13.50,3,5,TRUE
V-10004,GlobalParts Inc,ITEM-1008,Transformateur 220V/12V,12.00,10,10,FALSE
V-10005,PremiumTech SAS,ITEM-1008,Transformateur 220V/12V,14.50,6,5,FALSE
V-10009,SmartSource Ltd,ITEM-1008,Transformateur 220V/12V,13.00,5,8,FALSE
V-10000,TechParts SARL,ITEM-1009,Microcontroleur Arduino Nano,7.80,3,10,TRUE
V-10002,MegaSupply Co,ITEM-1009,Microcontroleur Arduino Nano,9.00,7,20,FALSE
V-10005,PremiumTech SAS,ITEM-1009,Microcontroleur Arduino Nano,7.20,6,15,FALSE
V-10007,FastDeal Trading,ITEM-1009,Microcontroleur Arduino Nano,8.20,4,10,FALSE
V-10009,SmartSource Ltd,ITEM-1009,Microcontroleur Arduino Nano,7.50,5,12,FALSE
V-10002,MegaSupply Co,ITEM-1010,Vis M4x20 Inox,4.50,7,10,TRUE
V-10004,GlobalParts Inc,ITEM-1010,Vis M4x20 Inox,4.00,10,20,FALSE
V-10006,EcoParts Algerie,ITEM-1010,Vis M4x20 Inox,5.20,8,5,FALSE
V-10008,ValuePlus SARL,ITEM-1010,Vis M4x20 Inox,4.30,12,15,FALSE
V-10000,TechParts SARL,ITEM-1011,Roulement 608ZZ,2.90,3,20,TRUE
V-10002,MegaSupply Co,ITEM-1011,Roulement 608ZZ,3.40,7,30,FALSE
V-10004,GlobalParts Inc,ITEM-1011,Roulement 608ZZ,2.70,10,50,FALSE
V-10009,SmartSource Ltd,ITEM-1011,Roulement 608ZZ,3.00,5,25,FALSE
V-10002,MegaSupply Co,ITEM-1012,Ressort Compression 25mm,1.60,7,50,TRUE
V-10006,EcoParts Algerie,ITEM-1012,Ressort Compression 25mm,1.90,8,30,FALSE
V-10008,ValuePlus SARL,ITEM-1012,Ressort Compression 25mm,1.50,12,100,FALSE
V-10014,Maghreb Outillage,ITEM-1012,Ressort Compression 25mm,1.75,8,40,FALSE
V-10018,Nord-Afrique Metal,ITEM-1012,Ressort Compression 25mm,1.65,7,50,FALSE
V-10002,MegaSupply Co,ITEM-1013,Ecrou M4 Inox,3.10,7,10,TRUE
V-10004,GlobalParts Inc,ITEM-1013,Ecrou M4 Inox,2.90,10,20,FALSE
V-10006,EcoParts Algerie,ITEM-1013,Ecrou M4 Inox,3.60,8,5,FALSE
V-10010,Atlas Componentes,ITEM-1013,Ecrou M4 Inox,3.00,4,15,FALSE
V-10034,Algiers Fasteners,ITEM-1013,Ecrou M4 Inox,2.80,2,20,FALSE
V-10002,MegaSupply Co,ITEM-1014,Rondelle Plate M4,1.80,7,10,TRUE
V-10006,EcoParts Algerie,ITEM-1014,Rondelle Plate M4,2.10,8,5,FALSE
V-10008,ValuePlus SARL,ITEM-1014,Rondelle Plate M4,1.70,12,20,FALSE
V-10010,Atlas Componentes,ITEM-1014,Rondelle Plate M4,1.75,4,15,FALSE
V-10034,Algiers Fasteners,ITEM-1014,Rondelle Plate M4,1.65,2,25,FALSE
V-10001,ElectroPro Distribution,ITEM-1015,Cable Electrique 1.5mm2,1.05,5,100,TRUE
V-10003,QuickShip Maroc,ITEM-1015,Cable Electrique 1.5mm2,1.30,2,50,FALSE
V-10004,GlobalParts Inc,ITEM-1015,Cable Electrique 1.5mm2,0.95,10,500,FALSE
V-10006,EcoParts Algerie,ITEM-1015,Cable Electrique 1.5mm2,1.15,8,200,FALSE
V-10008,ValuePlus SARL,ITEM-1015,Cable Electrique 1.5mm2,0.90,12,1000,FALSE
V-10001,ElectroPro Distribution,ITEM-1016,Connecteur RJ45,0.82,5,100,TRUE
V-10003,QuickShip Maroc,ITEM-1016,Connecteur RJ45,0.95,2,50,FALSE
V-10007,FastDeal Trading,ITEM-1016,Connecteur RJ45,0.85,4,80,FALSE
V-10009,SmartSource Ltd,ITEM-1016,Connecteur RJ45,0.80,5,100,FALSE
V-10001,ElectroPro Distribution,ITEM-1017,Gaine Thermoretractable 6mm,0.62,5,200,TRUE
V-10006,EcoParts Algerie,ITEM-1017,Gaine Thermoretractable 6mm,0.75,8,100,FALSE
V-10008,ValuePlus SARL,ITEM-1017,Gaine Thermoretractable 6mm,0.58,12,500,FALSE
V-10026,Constantine Cables,ITEM-1017,Gaine Thermoretractable 6mm,0.65,3,150,FALSE
V-10039,Global Wire SARL,ITEM-1017,Gaine Thermoretractable 6mm,0.60,5,300,FALSE
V-10000,TechParts SARL,ITEM-1018,Boitier Plastique 100x60x25,4.00,3,10,TRUE
V-10002,MegaSupply Co,ITEM-1018,Boitier Plastique 100x60x25,4.70,7,15,FALSE
V-10005,PremiumTech SAS,ITEM-1018,Boitier Plastique 100x60x25,3.80,6,20,FALSE
V-10007,FastDeal Trading,ITEM-1018,Boitier Plastique 100x60x25,4.30,4,10,FALSE
V-10000,TechParts SARL,ITEM-1019,Plaque Circuit Imprime 10x15,5.50,3,5,TRUE
V-10005,PremiumTech SAS,ITEM-1019,Plaque Circuit Imprime 10x15,5.00,6,10,FALSE
V-10007,FastDeal Trading,ITEM-1019,Plaque Circuit Imprime 10x15,5.80,4,8,FALSE
V-10009,SmartSource Ltd,ITEM-1019,Plaque Circuit Imprime 10x15,5.30,5,10,FALSE
V-10010,Atlas Componentes,ITEM-1020,Capteur de Temperature PT100,11.50,4,5,TRUE
V-10013,EuroIndustrie GmbH,ITEM-1020,Capteur de Temperature PT100,14.00,5,10,FALSE
V-10029,Deutschland Sensor AG,ITEM-1020,Capteur de Temperature PT100,16.50,4,5,FALSE
V-10030,West-Coast Silicon,ITEM-1020,Capteur de Temperature PT100,10.80,8,20,FALSE
V-10015,Orient Electronics,ITEM-1021,Afficheur LCD 16x2,3.60,14,50,FALSE
V-10020,SinoTech Supply,ITEM-1021,Afficheur LCD 16x2,3.20,15,100,FALSE
V-10025,Rhone Composants,ITEM-1021,Afficheur LCD 16x2,4.80,4,10,TRUE
V-10027,Tunis Microtech,ITEM-1021,Afficheur LCD 16x2,4.20,5,20,FALSE
V-10011,Biskra Tech,ITEM-1022,Alimentation Decoupage 12V 5A,13.50,6,5,TRUE
V-10013,EuroIndustrie GmbH,ITEM-1022,Alimentation Decoupage 12V 5A,16.00,5,10,FALSE
V-10032,Sahara Power SARL,ITEM-1022,Alimentation Decoupage 12V 5A,15.00,5,8,FALSE
V-10036,Oran Electrique,ITEM-1022,Alimentation Decoupage 12V 5A,14.20,3,5,FALSE
V-10015,Orient Electronics,ITEM-1023,Moteur Pas a Pas NEMA 17,13.80,14,20,FALSE
V-10019,Italia Hardware SpA,ITEM-1023,Moteur Pas a Pas NEMA 17,17.50,6,5,TRUE
V-10029,Deutschland Sensor AG,ITEM-1023,Moteur Pas a Pas NEMA 17,18.00,4,5,FALSE
V-10035,Nippon Precision Co,ITEM-1023,Moteur Pas a Pas NEMA 17,19.50,6,5,FALSE
V-10011,Biskra Tech,ITEM-1024,Interrupteur Fin de Course,1.00,6,50,TRUE
V-10014,Maghreb Outillage,ITEM-1024,Interrupteur Fin de Course,1.25,8,20,FALSE
V-10017,Maghreb Connect SARL,ITEM-1024,Interrupteur Fin de Course,1.05,4,30,FALSE
V-10021,Algerie Equipement,ITEM-1024,Interrupteur Fin de Course,1.15,3,25,FALSE
V-10034,Algiers Fasteners,ITEM-1024,Interrupteur Fin de Course,1.10,2,40,FALSE
V-10010,Atlas Componentes,ITEM-1025,Potentiometre 10K Ohm,0.70,4,100,TRUE
V-10011,Biskra Tech,ITEM-1025,Potentiometre 10K Ohm,0.68,6,150,FALSE
V-10015,Orient Electronics,ITEM-1025,Potentiometre 10K Ohm,0.55,14,500,FALSE
