Vendor No.,Name,City,E-Mail,Phone No.,Gen. Bus. Posting Group,VAT Bus. Posting Group,Vendor Posting Group
V-10000,TechParts SARL,Alger,contact@techparts.dz,+213 21 55 00 01,DOMESTIC,DOMESTIC,DOMESTIC
V-10001,ElectroPro Distribution,Oran,info@electropro.dz,+213 41 33 00 02,DOMESTIC,DOMESTIC,DOMESTIC
V-10002,MegaSupply Co,Constantine,sales@megasupply.com,+213 31 22 00 03,DOMESTIC,DOMESTIC,DOMESTIC
V-10003,QuickShip Maroc,Casablanca,orders@quickship.ma,+212 5 22 00 04,DOMESTIC,DOMESTIC,DOMESTIC
V-10004,GlobalParts Inc,Paris,info@globalparts.fr,+33 1 40 00 05,DOMESTIC,DOMESTIC,DOMESTIC
V-10005,PremiumTech SAS,Lyon,contact@premiumtech.fr,+33 4 72 00 06,DOMESTIC,DOMESTIC,DOMESTIC
V-10006,EcoParts Algerie,Blida,ventes@ecoparts.dz,+213 25 44 00 07,DOMESTIC,DOMESTIC,DOMESTIC
V-10007,FastDeal Trading,Tunis,sales@fastdeal.tn,+216 71 00 08,DOMESTIC,DOMESTIC,DOMESTIC
V-10008,ValuePlus SARL,Annaba,info@valueplus.dz,+213 38 55 00 09,DOMESTIC,DOMESTIC,DOMESTIC
V-10009,SmartSource Ltd,Istanbul,orders@smartsource.tr,+90 212 00 10,DOMESTIC,DOMESTIC,DOMESTIC
V-10010,Atlas Componentes,Madrid,contact@atlascomp.es,+34 91 100 11,DOMESTIC,DOMESTIC,DOMESTIC
V-10011,Biskra Tech,Biskra,info@biskratech.dz,+213 33 70 00 12,DOMESTIC,DOMESTIC,DOMESTIC
V-10012,Sahara Logistics,Ouargla,contact@saharalog.dz,+213 29 71 00 13,DOMESTIC,DOMESTIC,DOMESTIC
V-10013,EuroIndustrie GmbH,Stuttgart,sales@euroindustrie.de,+49 711 00 14,DOMESTIC,DOMESTIC,DOMESTIC
V-10014,Maghreb Outillage,Setif,orders@maghreboutill.dz,+213 36 90 00 15,DOMESTIC,DOMESTIC,DOMESTIC
V-10015,Orient Electronics,Shenzhen,info@orientelectro.cn,+86 755 00 16,DOMESTIC,DOMESTIC,DOMESTIC
V-10016,Mediterranean Parts,Marseille,sales@medparts.fr,+33 4 91 00 17,DOMESTIC,DOMESTIC,DOMESTIC
V-10017,Maghreb Connect SARL,Tlemcen,contact@maghrebconnect.dz,+213 43 20 00 18,DOMESTIC,DOMESTIC,DOMESTIC
V-10018,Nord-Afrique Metal,Bejaia,info@nametal.dz,+213 34 12 00 19,DOMESTIC,DOMESTIC,DOMESTIC
V-10019,Italia Hardware SpA,Milan,orders@italiahardware.it,+39 02 00 20,DOMESTIC,DOMESTIC,DOMESTIC
V-10020,SinoTech Supply,Shanghai,sales@sinotech.cn,+86 21 00 21,DOMESTIC,DOMESTIC,DOMESTIC
V-10021,Algerie Equipement,Tizi Ouzou,contact@algerieequip.dz,+213 26 21 00 22,DOMESTIC,DOMESTIC,DOMESTIC
V-10022,Iberica Distribution,Valencia,info@ibericadist.es,+34 96 300 23,DOMESTIC,DOMESTIC,DOMESTIC
V-10023,Atlas Plastic SARL,Mostaganem,ventes@atlasplastic.dz,+213 45 30 00 24,DOMESTIC,DOMESTIC,DOMESTIC
V-10024,Emirates Trading,Dubai,info@emiratestrading.ae,+971 4 00 25,DOMESTIC,DOMESTIC,DOMESTIC
V-10025,Rhone Composants,Grenoble,contact@rhonecomp.fr,+33 4 76 00 26,DOMESTIC,DOMESTIC,DOMESTIC
V-10026,Constantine Cables,Constantine,sales@constantinecables.dz,+213 31 66 00 27,DOMESTIC,DOMESTIC,DOMESTIC
V-10027,Tunis Microtech,Sfax,orders@tunismicrotech.tn,+216 74 00 28,DOMESTIC,DOMESTIC,DOMESTIC
V-10028,Bosphore Import-Export,Izmir,info@bosphoreimp.tr,+90 232 00 29,DOMESTIC,DOMESTIC,DOMESTIC
V-10029,Deutschland Sensor AG,Nurnberg,sales@de-sensor.de,+49 911 00 30,DOMESTIC,DOMESTIC,DOMESTIC
V-10030,West-Coast Silicon,San Jose,contact@wcsilicon.com,+1 408 00 31,DOMESTIC,DOMESTIC,DOMESTIC
V-10031,Casatech Distribution,Casablanca,info@casatech.ma,+212 5 20 00 32,DOMESTIC,DOMESTIC,DOMESTIC
V-10032,Sahara Power SARL,Hassi Messaoud,sales@saharapower.dz,+213 29 73 00 33,DOMESTIC,DOMESTIC,DOMESTIC
V-10033,Setif Plast,Setif,orders@setifplast.dz,+213 36 84 00 34,DOMESTIC,DOMESTIC,DOMESTIC
V-10034,Algiers Fasteners,Alger,contact@algiersfast.dz,+213 21 60 00 35,DOMESTIC,DOMESTIC,DOMESTIC
V-10035,Nippon Precision Co,Tokyo,info@nipponprecision.jp,+81 3 00 36,DOMESTIC,DOMESTIC,DOMESTIC
V-10036,Oran Electrique,Oran,sales@oranelectrique.dz,+213 41 40 00 37,DOMESTIC,DOMESTIC,DOMESTIC
V-10037,Pyrenees Outillage,Toulouse,orders@pyreneesoutill.fr,+33 5 61 00 38,DOMESTIC,DOMESTIC,DOMESTIC
V-10038,Soummam Distribution,Akbou,info@soummamdist.dz,+213 34 35 00 39,DOMESTIC,DOMESTIC,DOMESTIC
V-10039,Global Wire SARL,Chlef,contact@globalwire.dz,+213 27 77 00 40,DOMESTIC,DOMESTIC,DOMESTIC
